City,Average Rainfall (mm),Month
London,1.8451612903225807,Jan 23
Bangalore,0.07741935483870968,Jan 23
Bogota,3.0,Jan 23
Riyadh,2.8419354838709676,Jan 23
Amsterdam,3.9838709677419355,Jan 23
London,0.425,Feb 23
Bangalore,0.0,Feb 23
Bogota,1.657142857142857,Feb 23
Riyadh,0.0035714285714285718,Feb 23
Amsterdam,1.2428571428571427,Feb 23
London,2.8870967741935485,Mar 23
Bangalore,1.0451612903225806,Mar 23
Bogota,6.590322580645162,Mar 23
Riyadh,0.3548387096774194,Mar 23
Amsterdam,3.103225806451613,Mar 23
London,2.3733333333333335,Apr 23
Bangalore,0.94,Apr 23
Bogota,4.4,Apr 23
Riyadh,1.1,Apr 23
Amsterdam,3.2700000000000005,Apr 23
London,1.1806451612903226,May 23
Bangalore,4.564516129032258,May 23
Bogota,2.5870967741935487,May 23
Riyadh,0.0032258064516129032,May 23
Amsterdam,2.658064516129032,May 23
London,1.3166666666666667,Jun 23
Bangalore,2.8766666666666665,Jun 23
Bogota,0.8033333333333333,Jun 23
Riyadh,0.0,Jun 23
Amsterdam,0.3433333333333334,Jun 23
London,2.903225806451613,Jul 23
Bangalore,5.270967741935484,Jul 23
Bogota,2.170967741935484,Jul 23
Riyadh,0.0,Jul 23
Amsterdam,4.670967741935484,Jul 23
London,1.803225806451613,Aug 23
Bangalore,1.506451612903226,Aug 23
Bogota,1.6709677419354838,Aug 23
Riyadh,0.0,Aug 23
Amsterdam,3.1806451612903226,Aug 23
London,1.9233333333333331,Sep 23
Bangalore,3.933333333333333,Sep 23
Bogota,1.48,Sep 23
Riyadh,0.0,Sep 23
Amsterdam,2.1333333333333333,Sep 23
London,2.9645161290322584,Oct 23
Bangalore,1.7935483870967743,Oct 23
Bogota,2.8,Oct 23
Riyadh,0.0,Oct 23
Amsterdam,5.703225806451614,Oct 23
London,2.9966666666666666,Nov 23
Bangalore,3.636666666666667,Nov 23
Bogota,3.4233333333333333,Nov 23
Riyadh,0.21,Nov 23
Amsterdam,4.806666666666667,Nov 23
London,2.52258064516129,Dec 23
Bangalore,0.38387096774193546,Dec 23
Bogota,3.4096774193548387,Dec 23
Riyadh,0.13870967741935486,Dec 23
Amsterdam,4.048387096774194,Dec 23
